Athlete_Name,Sport,Matches_Played,Performance_Score,Speed,Stamina,Fitness_Level,Injury_Count,Training_Hours,Age,Efficiency_Score,Consistency_Score
Virat Kohli,Cricket,72,93,79,89,82,1,17,33,5.47,83.33
Virat Kohli,Cricket,287,95,90,80,80,3,11,29,8.64,83.33
Virat Kohli,Cricket,260,75,89,70,85,2,16,28,4.69,81.33
Virat Kohli,Cricket,73,82,76,67,75,2,14,26,5.86,72.67
Virat Kohli,Cricket,133,87,94,87,85,0,19,24,4.58,88.67
Virat Kohli,Cricket,299,81,94,69,87,5,12,30,6.75,83.33
Virat Kohli,Cricket,106,84,80,66,95,2,13,35,6.46,80.33
Virat Kohli,Cricket,291,86,83,69,76,5,13,36,6.62,76.0
Virat Kohli,Cricket,222,93,84,85,78,4,16,30,5.81,82.33
Virat Kohli,Cricket,246,93,68,81,93,0,11,22,8.45,80.67
Rohit Sharma,Cricket,125,87,93,90,85,1,13,34,6.69,89.33
Rohit Sharma,Cricket,124,80,87,85,73,5,18,33,4.44,81.67
Rohit Sharma,Cricket,134,77,77,73,88,1,14,30,5.5,79.33
Rohit Sharma,Cricket,242,92,77,75,88,2,14,34,6.57,80.0
Rohit Sharma,Cricket,128,87,84,76,79,5,13,30,6.69,79.67
Rohit Sharma,Cricket,250,90,76,69,80,4,18,22,5.0,75.0
Rohit Sharma,Cricket,187,80,70,91,92,5,10,35,8.0,84.33
Rohit Sharma,Cricket,73,78,76,92,83,0,11,33,7.09,83.67
Rohit Sharma,Cricket,138,91,88,66,83,3,16,38,5.69,79.0
Rohit Sharma,Cricket,96,74,68,85,84,4,12,30,6.17,79.0
KL Rahul,Cricket,273,74,88,95,92,5,18,37,4.11,91.67
KL Rahul,Cricket,275,70,82,80,90,1,17,34,4.12,84.0
KL Rahul,Cricket,139,77,75,94,94,4,20,31,3.85,87.67
KL Rahul,Cricket,76,90,70,81,75,0,17,24,5.29,75.33
KL Rahul,Cricket,292,73,81,80,87,3,13,29,5.62,82.67
KL Rahul,Cricket,65,75,82,95,88,5,11,34,6.82,88.33
KL Rahul,Cricket,238,75,76,95,76,0,15,34,5.0,82.33
KL Rahul,Cricket,288,72,70,80,84,0,15,23,4.8,78.0
KL Rahul,Cricket,193,87,71,88,78,0,18,30,4.83,79.0
KL Rahul,Cricket,164,77,67,81,75,1,19,38,4.05,74.33
Hardik Pandya,Cricket,213,89,79,81,92,0,15,35,5.93,84.0
Hardik Pandya,Cricket,113,83,70,82,77,0,13,24,6.38,76.33
Hardik Pandya,Cricket,138,79,65,91,87,2,14,29,5.64,81.0
Hardik Pandya,Cricket,231,84,76,90,80,1,10,35,8.4,82.0
Hardik Pandya,Cricket,211,71,76,68,90,1,17,34,4.18,78.0
Hardik Pandya,Cricket,134,80,77,82,87,4,11,37,7.27,82.0
Hardik Pandya,Cricket,256,89,79,95,89,5,13,33,6.85,87.67
Hardik Pandya,Cricket,213,89,95,65,91,4,15,30,5.93,83.67
Hardik Pandya,Cricket,134,72,89,66,93,4,13,30,5.54,82.67
Hardik Pandya,Cricket,118,93,83,91,82,4,17,22,5.47,85.33
Jasprit Bumrah,Cricket,287,72,83,87,85,0,12,27,6.0,85.0
Jasprit Bumrah,Cricket,157,93,94,89,70,4,10,35,9.3,84.33
Jasprit Bumrah,Cricket,288,75,91,91,77,3,20,26,3.75,86.33
Jasprit Bumrah,Cricket,269,71,90,81,89,0,17,28,4.18,86.67
Jasprit Bumrah,Cricket,249,77,78,84,77,2,14,38,5.5,79.67
Jasprit Bumrah,Cricket,109,78,84,93,91,0,19,30,4.11,89.33
Jasprit Bumrah,Cricket,263,70,68,93,80,0,20,30,3.5,80.33
Jasprit Bumrah,Cricket,52,71,66,76,81,2,11,35,6.45,74.33
Jasprit Bumrah,Cricket,282,81,79,67,75,1,20,27,4.05,73.67
Jasprit Bumrah,Cricket,174,86,77,88,93,2,17,25,5.06,86.0
Lionel Messi,Football,121,76,77,86,88,3,20,30,3.8,83.67
Lionel Messi,Football,295,88,84,80,77,0,14,25,6.29,80.33
Lionel Messi,Football,201,92,69,85,93,2,19,27,4.84,82.33
Lionel Messi,Football,189,73,65,65,91,3,17,22,4.29,73.67
Lionel Messi,Football,297,70,89,87,88,1,20,36,3.5,88.0
Lionel Messi,Football,89,76,87,91,89,5,12,31,6.33,89.0
Lionel Messi,Football,172,84,92,75,72,3,14,22,6.0,79.67
Lionel Messi,Football,293,81,72,72,79,4,18,27,4.5,74.33
Lionel Messi,Football,217,95,79,86,73,1,15,31,6.33,79.33
Lionel Messi,Football,80,88,91,80,87,5,14,36,6.29,86.0
Cristiano Ronaldo,Football,280,75,73,65,95,1,13,22,5.77,77.67
Cristiano Ronaldo,Football,253,79,88,84,83,1,18,25,4.39,85.0
Cristiano Ronaldo,Football,170,91,83,89,88,1,19,25,4.79,86.67
Cristiano Ronaldo,Football,99,76,81,74,91,4,18,23,4.22,82.0
Cristiano Ronaldo,Football,174,95,72,92,78,0,19,24,5.0,80.67
Cristiano Ronaldo,Football,98,79,77,70,94,3,17,31,4.65,80.33
Cristiano Ronaldo,Football,93,82,78,67,90,4,15,31,5.47,78.33
Cristiano Ronaldo,Football,237,89,87,77,87,2,20,28,4.45,83.67
Cristiano Ronaldo,Football,61,82,66,83,72,1,11,33,7.45,73.67
Cristiano Ronaldo,Football,296,82,78,66,95,1,19,25,4.32,79.67
Neymar Jr,Football,214,82,74,77,70,5,11,36,7.45,73.67
Neymar Jr,Football,137,82,83,84,78,2,11,31,7.45,81.67
Neymar Jr,Football,203,77,86,70,86,0,18,33,4.28,80.67
Neymar Jr,Football,297,82,68,83,75,0,18,38,4.56,75.33
Neymar Jr,Football,117,81,93,69,87,1,17,34,4.76,83.0
Neymar Jr,Football,207,79,69,76,70,4,16,36,4.94,71.67
Neymar Jr,Football,170,78,80,83,76,2,18,36,4.33,79.67
Neymar Jr,Football,212,72,83,87,74,2,15,32,4.8,81.33
Neymar Jr,Football,112,94,71,78,73,4,15,35,6.27,74.0
Neymar Jr,Football,267,88,76,76,80,2,13,24,6.77,77.33
Kylian Mbappe,Football,271,71,89,78,86,5,17,24,4.18,84.33
Kylian Mbappe,Football,295,86,88,92,81,1,18,26,4.78,87.0
Kylian Mbappe,Football,96,91,75,83,83,4,19,34,4.79,80.33
Kylian Mbappe,Football,145,75,86,93,75,4,18,33,4.17,84.67
Kylian Mbappe,Football,115,90,83,87,92,1,17,26,5.29,87.33
Kylian Mbappe,Football,169,71,94,89,94,1,12,35,5.92,92.33
Kylian Mbappe,Football,213,78,69,69,76,4,20,30,3.9,71.33
Kylian Mbappe,Football,230,85,74,87,94,2,12,38,7.08,85.0
Kylian Mbappe,Football,193,74,91,70,92,0,20,28,3.7,84.33
Kylian Mbappe,Football,98,85,71,65,78,5,16,23,5.31,71.33
Kevin De Bruyne,Football,227,75,68,74,84,5,18,38,4.17,75.33
Kevin De Bruyne,Football,154,89,95,91,93,5,15,36,5.93,93.0
Kevin De Bruyne,Football,102,74,94,86,79,1,11,29,6.73,86.33
Kevin De Bruyne,Football,92,72,94,82,75,1,17,26,4.24,83.67
Kevin De Bruyne,Football,115,95,79,92,89,3,13,32,7.31,86.67
Kevin De Bruyne,Football,196,86,93,81,83,4,16,24,5.38,85.67
Kevin De Bruyne,Football,138,74,80,65,82,4,19,32,3.89,75.67
Kevin De Bruyne,Football,57,79,83,68,91,3,17,38,4.65,80.67
Kevin De Bruyne,Football,173,79,76,72,81,4,17,31,4.65,76.33
Kevin De Bruyne,Football,278,74,85,69,72,3,15,29,4.93,75.33
PV Sindhu,Badminton,171,78,89,93,86,0,20,38,3.9,89.33
PV Sindhu,Badminton,129,71,66,76,86,4,16,25,4.44,76.0
PV Sindhu,Badminton,185,89,67,65,86,0,17,37,5.24,72.67
PV Sindhu,Badminton,285,82,94,84,92,5,16,23,5.12,90.0
PV Sindhu,Badminton,189,87,67,77,87,4,19,27,4.58,77.0
PV Sindhu,Badminton,208,80,91,72,90,4,13,31,6.15,84.33
PV Sindhu,Badminton,130,75,79,95,93,2,20,33,3.75,89.0
